title,allpoints_number,price,description,specifications,oem_names_numbers
26-4752 - DOOR SEAL - CENTER LEFT,26-4752,166.26,"
DOOR SEAL CENTER LEFT
25"" LONG
GARLAND OVEN: MCO-ES-10-S, MCO-ES-10A, MCO-ES-ED-10,
MCO-GS-10ARBY, MCO-GS-20ARBY, MCO-GS/GD-10
","


Ship Weight : 0.84 lbs.

","{'Garland': ['1924412', 'GL1924412']}"
26-4751 - DOOR SEAL - CENTER RIGHT,26-4751,137.01,"
DOOR SEAL CENTER RIGHT
25"" LONG
GARLAND OVEN: MCO-ES-10-S, MCO-ES-10A, MCO-ES-ED-10,
MCO-GS-10ARBY, MCO-GS-20ARBY, MCO-GS/GD-10
","


Ship Weight : 0.64 lbs.

","{'Garland': ['1924402', '1924411', 'GL1924402', 'GL1924411']}"
GARLAND - 1924601 - DOOR SEAL - LEFT OR RIGHT,26-4753,81.12,"
DOOR SEAL LEFT OR RIGHT
26"" LONG
GARLAND OVEN: MCO-ES-10-S, MCO-ES-10A, MCO-ES-ED-10,
MCO-GS-10ARBY, MCO-GS-20ARBY, MCO-GS/GD-10
","


Ship Weight : 0.2 lbs.

","{'Garland': ['1924601', 'GL1924601']}"
GARLAND - 1924711 - DOOR SEAL - TOP,26-4754,106.15,"
DOOR SEAL TOP
31-1/4"" LONG
GARLAND OVEN: MCO-ES-10-S, MCO-ES-10A, MCO-ES-ED-10,
MCO-GS-10ARBY, MCO-GS-20ARBY, MCO-GS/GD-10
","


Ship Weight : 0.34 lbs.

","{'Garland': ['1924711', 'GL1924711']}"
GARLAND - 1924712 - DOOR SEAL - BOTTOM,26-4755,113.89,"
DOOR SEAL BOTTOM
31-1/4"" LONG
GARLAND OVEN: MCO-ES-10-S, MCO-ES-10A, MCO-ES-ED-10,
MCO-GS-10ARBY, MCO-GS-20ARBY, MCO-GS/GD-10
","


Ship Weight : 0.37 lbs.

","{'Garland': ['1924712', 'GL1924712']}"
SOUTHBEND - 1181803 - DOOR SEAL - CENTER,26-4916,66.63,"
CENTER DOOR SEAL
21-5/8"" LONG
SOUTHBEND MARATHONER CONVECTION OVENS - SERIES EB, ES, GB,
GS, SL
","


Ship Weight : 0.64 lbs.

","{'Southbend': ['1181803', 'SOU1181803']}"
"MONTAGUE - 26183-1 - 3/16"" SLEEVE",26-4962,1.39,"
COMPRESSION SLEEVE, 3/16"" X 1/8""
MONTAGUE RANGE GE, GEC, GEM
","


Ship Weight : 0.01 lbs.

",{'Montague': ['26183-1']}
DELFIELD - 0160014-S - PAN W/DRAIN,26-5995,455.06,"
FOOD WARMER PAN W/DRAIN
DELFIELD 48334, 48348, 48362, 48376, 549-CH, 561-CH,
573-CH,DC-H2, DC-H3, DC-H4, DC-H5, DC-H6, KH2, KH2-NU,
KH2C-74NU,KH2CR-72B, KH2CR-96B, KH3, KH3-NU, KH3C-74NU,
KH3C-96NU,KH3CR-96B, KH4, KH4-NU, KH4C-96NU, KH4CR-96B, KH5,
KH5-NU,KH6, KH6-NU, KHC-50NU, KHC-60NU, KHC-74NU, KHC-96NU,
KHCR-50B, KHCR-60B, KHCR-74B, KHCR-96B, SH-6NU, SH2,
SH2-NU,SH2C-74NU, SH2C-96NU, SH2CR-62B, SH2CR-72B,
SH2CR-96B, SH3,SH3-NU, SH3C-74NU, SH3C-96NU,
SH3CR-96B, SH4,SH4-NU,
SH4C-96NU, SH4CR-96B, SH5, SH5-NU, SH6, SHC-50NU, SHC-60NU,
SHC-74NU, SHC-96NU, SHC2-62NU, SHCR-50B, SHCR-60B,
SHCR-74B,SHCR-96B
","


Ship Weight : 7.38 lbs.

","{'Delfield': ['0160014', '0160014-S']}"
"SOUTHERN PRIDE - 070024 - GASKET,OVEN MOUNT (112"")",270-1027,386.70,"
LENGTH: 112"" | 2845 mm
","


Ship Weight : 1.46 lbs.

","{'Southern Pride': ['070024', '4179G', '70024', 'SOP070024', 'SOP4179G', 'SOP70024']}"
CECILWARE - M461AL - SILICONE SEAL,28-1920,2.52,"
DISPENSE VALVE SEAL
SILICONE SEAL, 12MM (.466"" ) ID.
CECILWARE APT100G, APT18G, APT35G, APT35GX, C-2001, C-2002,
C-2003, C-2005, GB1CP, GB1HC-CP, GB1M5.5-IT, GB1P, GB2CP,
GB2HC-CP, GB2M5.5-IT, GB2P, GB3CP, GB3M-10-IT, GB3M-5.5-IT,
GB3P, GB4M-IT, GB5M-IT, JAVA 2-QB-D, JAVA 2-QB-D1, JAVA
2-QB-D2, JAVA 2-QB-D3, JAVA 2-QB-DC, JAVA2-LP, LTB-103,
LTB-103-IR, LTB-105
","


Ship Weight : 0.1 lbs.

","{'Cecilware': ['M461A', 'M461AL'], 'Grindmaster': ['M461A', 'M461AL']}"
